customer_id,orders_last_30d,orders_last_90d,total_spend_90d,avg_order_value_90d,category_diversity_90d,avg_quantity_per_order,days_since_last_order,customer_tenure_days,favorite_category,label
C00077,0,0,0.0,0.0,0,0.0,119.0,445.0,unknown,0
C00078,0,1,15.18,15.18,1,1.0,38.0,418.0,Grocery,0
C00079,0,0,0.0,0.0,0,0.0,364.0,395.0,unknown,0
C00080,0,2,997.81,498.905,2,1.5,32.0,415.0,Electronics,0
C00081,0,0,0.0,0.0,0,0.0,250.0,250.0,unknown,0
C00082,0,2,393.25,196.625,2,1.5,43.0,344.0,Electronics,0
C00083,0,3,259.4,86.46666666666665,3,2.3333333333333335,44.0,250.0,Fashion,0
C00084,3,4,520.1700000000001,130.04250000000002,4,1.5,6.0,419.0,Beauty,1
C00085,1,1,51.11,51.11,1,1.0,11.0,399.0,Grocery,1
C00086,0,2,330.98,165.49,2,1.0,37.0,437.0,Fashion,1
C00087,0,1,40.97,40.97,1,2.0,35.0,397.0,Grocery,0
C00088,0,0,0.0,0.0,0,0.0,102.0,434.0,unknown,1
C00089,0,0,0.0,0.0,0,0.0,126.0,425.0,unknown,0
C00090,1,1,16.51,16.51,1,2.0,4.0,433.0,Books,1
C00091,2,8,914.52,114.315,4,1.625,20.0,448.0,Fashion,0
C00092,0,2,383.78000000000003,191.89000000000001,2,1.0,68.0,438.0,Grocery,1
C00093,1,1,186.62,186.62,1,2.0,5.0,247.0,Sports,0
C00094,0,0,0.0,0.0,0,0.0,240.0,435.0,unknown,0
C00095,0,1,14.5,14.5,1,1.0,72.0,72.0,Books,0
C00096,0,0,0.0,0.0,0,0.0,115.0,317.0,unknown,1
C00097,0,0,0.0,0.0,0,0.0,424.0,424.0,unknown,0
C00098,2,3,931.66,310.55333333333334,3,1.3333333333333333,20.0,416.0,Electronics,0
C00099,1,2,135.16,67.58,2,1.0,21.0,327.0,Grocery,0
C00100,1,3,414.58000000000004,138.19333333333336,3,1.3333333333333333,23.0,418.0,Electronics,0
C00101,0,0,0.0,0.0,0,0.0,101.0,448.0,unknown,0
C00102,0,2,468.76,234.38,1,1.0,49.0,362.0,Electronics,0
C00103,0,0,0.0,0.0,0,0.0,248.0,427.0,unknown,0
C00104,0,1,197.97,197.97,1,1.0,85.0,85.0,Home,0
C00105,1,2,39.48,19.74,2,1.0,25.0,237.0,Books,0
C00106,0,0,0.0,0.0,0,0.0,133.0,359.0,unknown,0
C00107,0,2,556.37,278.185,2,1.0,42.0,420.0,Books,0
C00108,0,0,0.0,0.0,0,0.0,331.0,443.0,unknown,0
C00109,2,5,1169.6899999999998,233.93799999999996,4,1.8,12.0,361.0,Electronics,1
C00110,0,2,67.57,33.785,2,1.5,50.0,253.0,Books,1
C00111,2,5,1864.05,372.81,4,1.4,15.0,361.0,Electronics,0
C00112,0,0,0.0,0.0,0,0.0,301.0,411.0,unknown,0
C00113,0,0,0.0,0.0,0,0.0,128.0,402.0,unknown,0
C00114,1,1,320.44,320.44,1,1.0,25.0,333.0,Electronics,0
C00115,0,1,167.98,167.98,1,4.0,60.0,330.0,Fashion,0
C00116,1,1,9.72,9.72,1,1.0,22.0,386.0,Grocery,1
C00117,0,3,252.60999999999999,84.20333333333333,2,1.6666666666666667,39.0,332.0,Toys,0
C00118,0,2,287.09,143.545,2,1.0,56.0,280.0,Electronics,0
C00119,1,2,1154.79,577.395,2,1.0,11.0,363.0,Electronics,0
C00120,0,0,0.0,0.0,0,0.0,168.0,394.0,unknown,0
C00121,0,1,220.53,220.53,1,3.0,72.0,434.0,Fashion,0
C00122,0,0,0.0,0.0,0,0.0,155.0,308.0,unknown,0
C00123,0,4,272.93,68.2325,3,2.25,34.0,449.0,Grocery,0
C00124,0,1,292.12,292.12,1,5.0,75.0,337.0,Grocery,1
C00125,1,3,330.34000000000003,110.11333333333334,2,1.6666666666666667,22.0,398.0,Beauty,1
C00126,1,4,3748.84,937.21,3,2.5,22.0,290.0,Electronics,1
C00127,0,0,0.0,0.0,0,0.0,302.0,430.0,unknown,0
C00128,1,1,83.95,83.95,1,2.0,5.0,327.0,Grocery,0
C00129,2,4,186.45000000000002,46.612500000000004,1,1.25,2.0,434.0,Grocery,1
C00130,1,1,82.48,82.48,1,1.0,24.0,324.0,Beauty,0
C00131,0,3,892.6600000000001,297.55333333333334,3,1.0,57.0,437.0,Electronics,0
C00132,0,5,763.46,152.692,4,1.0,70.0,315.0,Electronics,1
C00133,0,1,153.72,153.72,1,1.0,89.0,89.0,Home,0
C00134,0,0,0.0,0.0,0,0.0,227.0,307.0,unknown,0
C00135,0,2,121.44,60.72,2,2.5,33.0,375.0,Fashion,0
C00136,2,5,549.16,109.832,4,1.0,13.0,452.0,Toys,1
C00137,0,0,0.0,0.0,0,0.0,117.0,293.0,unknown,1
C00138,1,3,2048.23,682.7433333333333,3,2.3333333333333335,7.0,365.0,Books,1
C00139,0,0,0.0,0.0,0,0.0,110.0,442.0,unknown,0
C00140,0,0,0.0,0.0,0,0.0,141.0,410.0,unknown,0
C00141,1,3,405.94,135.31333333333333,3,1.3333333333333333,11.0,406.0,Fashion,1
C00142,1,2,561.1800000000001,280.59000000000003,2,1.0,5.0,235.0,Electronics,1
C00143,0,2,144.77,72.385,2,2.5,40.0,432.0,Books,0
C00144,1,2,500.73999999999995,250.36999999999998,2,1.5,10.0,271.0,Books,0
C00145,1,2,1943.4299999999998,971.7149999999999,2,2.5,21.0,355.0,Beauty,1
C00146,0,0,0.0,0.0,0,0.0,216.0,399.0,unknown,0
C00147,0,0,0.0,0.0,0,0.0,152.0,308.0,unknown,0
C00148,2,4,577.66,144.415,3,2.5,19.0,346.0,Grocery,0
C00149,1,1,266.26,266.26,1,2.0,3.0,370.0,Toys,0
C00150,2,5,1064.6200000000001,212.92400000000004,3,1.0,14.0,434.0,Electronics,1
C00151,1,1,645.24,645.24,1,1.0,21.0,360.0,Electronics,0
C00152,3,3,1229.9,409.9666666666667,3,1.3333333333333333,12.0,435.0,Electronics,0
C00153,2,6,564.63,94.105,6,1.5,5.0,427.0,Beauty,1
C00154,0,2,658.4799999999999,329.23999999999995,2,1.5,71.0,367.0,Electronics,0
C00155,0,1,300.08,300.08,1,3.0,70.0,433.0,Sports,1
C00156,2,4,628.5,157.125,3,1.5,1.0,377.0,Grocery,0
C00157,0,0,0.0,0.0,0,0.0,240.0,438.0,unknown,0
C00158,0,1,251.72,251.72,1,1.0,41.0,359.0,Home,1
C00159,0,1,68.2,68.2,1,1.0,84.0,387.0,Fashion,0
C00160,0,0,0.0,0.0,0,0.0,174.0,229.0,unknown,0
C00161,0,0,0.0,0.0,0,0.0,182.0,445.0,unknown,0
C00162,0,0,0.0,0.0,0,0.0,211.0,409.0,unknown,0
C00163,0,0,0.0,0.0,0,0.0,238.0,402.0,unknown,0
C00164,1,2,156.42,78.21,2,1.0,17.0,438.0,Beauty,1
C00165,0,1,67.11,67.11,1,1.0,73.0,73.0,Books,0
C00166,0,0,0.0,0.0,0,0.0,262.0,420.0,unknown,1
C00167,0,3,124.16999999999999,41.38999999999999,2,1.0,34.0,405.0,Fashion,1
C00168,0,2,302.59,151.295,2,3.0,67.0,406.0,Beauty,0
C00169,0,0,0.0,0.0,0,0.0,231.0,435.0,unknown,0
C00170,0,2,91.22999999999999,45.614999999999995,2,1.0,49.0,422.0,Beauty,1
C00171,0,0,0.0,0.0,0,0.0,270.0,411.0,unknown,0
C00172,0,1,38.38,38.38,1,1.0,76.0,386.0,Books,0
C00173,0,0,0.0,0.0,0,0.0,159.0,433.0,unknown,0
C00174,1,2,238.29000000000002,119.14500000000001,2,2.0,29.0,446.0,Electronics,0
C00175,2,4,501.33,125.3325,3,1.5,14.0,450.0,Electronics,0
C00176,1,2,273.46,136.73,1,1.0,13.0,366.0,Fashion,0
C00177,0,2,1374.1200000000001,687.0600000000001,2,1.5,39.0,382.0,Beauty,0
C00178,0,0,0.0,0.0,0,0.0,119.0,350.0,unknown,0
C00179,0,0,0.0,0.0,0,0.0,92.0,330.0,unknown,1
C00180,1,3,751.47,250.49,3,2.0,2.0,403.0,Electronics,0
C00181,0,0,0.0,0.0,0,0.0,149.0,366.0,unknown,0
C00182,0,0,0.0,0.0,0,0.0,132.0,227.0,unknown,0
C00183,0,1,16.9,16.9,1,2.0,80.0,384.0,Grocery,0
C00184,0,0,0.0,0.0,0,0.0,233.0,362.0,unknown,0
C00185,1,2,360.53,180.265,2,1.0,13.0,361.0,Grocery,0
C00186,1,2,419.51,209.755,2,1.5,29.0,329.0,Beauty,0
C00187,0,0,0.0,0.0,0,0.0,105.0,423.0,unknown,0
C00188,0,1,44.95,44.95,1,1.0,58.0,395.0,Fashion,0
C00189,1,4,234.62,58.655,4,1.25,2.0,428.0,Fashion,1
C00190,0,0,0.0,0.0,0,0.0,332.0,435.0,unknown,0
C00191,1,3,1200.14,400.0466666666667,2,1.3333333333333333,16.0,381.0,Electronics,0
C00192,0,0,0.0,0.0,0,0.0,172.0,426.0,unknown,0
C00193,2,3,557.27,185.75666666666666,3,2.3333333333333335,7.0,435.0,Electronics,1
C00194,0,0,0.0,0.0,0,0.0,92.0,355.0,unknown,1
C00195,1,3,443.12,147.70666666666668,2,1.0,18.0,401.0,Home,0
C00196,1,6,1308.43,218.0716666666667,3,2.0,2.0,447.0,Fashion,0
C00197,0,0,0.0,0.0,0,0.0,114.0,348.0,unknown,0
C00198,3,4,573.49,143.3725,2,1.75,9.0,417.0,Fashion,0
C00199,0,0,0.0,0.0,0,0.0,194.0,437.0,unknown,0
C00200,0,0,0.0,0.0,0,0.0,137.0,432.0,unknown,0
C00201,0,2,88.14,44.07,2,1.0,30.0,438.0,Beauty,0
C00202,1,1,68.02,68.02,1,1.0,24.0,418.0,Fashion,0
C00203,1,2,753.46,376.73,2,2.0,27.0,450.0,Books,0
C00204,2,3,328.5,109.5,3,1.3333333333333333,8.0,447.0,Fashion,1
C00205,0,0,0.0,0.0,0,0.0,92.0,423.0,unknown,0
C00206,0,0,0.0,0.0,0,0.0,110.0,424.0,unknown,0
C00207,4,6,585.46,97.57666666666667,4,1.8333333333333333,3.0,435.0,Grocery,1
C00208,0,0,0.0,0.0,0,0.0,163.0,388.0,unknown,0
C00209,0,1,14.22,14.22,1,1.0,51.0,391.0,Books,1
C00210,0,0,0.0,0.0,0,0.0,390.0,390.0,unknown,0
C00211,0,3,364.56,121.52,2,1.6666666666666667,38.0,365.0,Toys,0
C00212,1,1,129.75,129.75,1,1.0,29.0,365.0,Home,0
C00213,0,0,0.0,0.0,0,0.0,276.0,409.0,unknown,1
C00214,1,1,58.74,58.74,1,1.0,13.0,283.0,Sports,0
C00215,0,1,489.43,489.43,1,2.0,61.0,415.0,Electronics,1
C00216,0,1,10.38,10.38,1,1.0,71.0,428.0,Grocery,1
C00217,1,4,639.55,159.8875,2,2.25,5.0,414.0,Grocery,1
C00218,2,4,795.73,198.9325,4,1.5,5.0,443.0,Beauty,1
C00219,1,4,809.3100000000001,202.32750000000001,4,1.25,7.0,415.0,Beauty,0
C00220,1,2,197.23000000000002,98.61500000000001,2,1.0,6.0,416.0,Electronics,0
C00221,0,0,0.0,0.0,0,0.0,335.0,447.0,unknown,0
C00222,0,0,0.0,0.0,0,0.0,96.0,389.0,unknown,0
C00223,1,2,79.26,39.63,1,1.0,27.0,408.0,Fashion,0
C00224,1,3,615.9200000000001,205.3066666666667,2,2.6666666666666665,22.0,437.0,Grocery,0
C00225,0,0,0.0,0.0,0,0.0,91.0,449.0,unknown,0
C00226,0,2,64.15,32.075,1,1.0,77.0,337.0,Books,1
C00227,0,0,0.0,0.0,0,0.0,186.0,404.0,unknown,0
C00228,1,1,196.16,196.16,1,1.0,8.0,435.0,Home,0
C00229,0,0,0.0,0.0,0,0.0,112.0,398.0,unknown,1
C00230,0,2,126.5,63.25,2,1.0,77.0,440.0,Beauty,0
C00231,1,2,156.67,78.335,2,1.0,26.0,406.0,Books,1
C00232,0,3,1693.32,564.4399999999999,3,2.6666666666666665,55.0,353.0,Books,1
C00233,0,2,909.91,454.955,2,2.5,38.0,289.0,Books,0
C00234,0,0,0.0,0.0,0,0.0,92.0,364.0,unknown,0
C00235,0,0,0.0,0.0,0,0.0,102.0,424.0,unknown,0
C00236,1,4,1902.47,475.6175,2,1.75,16.0,433.0,Electronics,0
C00237,0,4,1042.06,260.515,4,1.5,59.0,250.0,Beauty,1
C00238,0,1,120.78,120.78,1,3.0,34.0,340.0,Books,1
C00239,0,3,72.72999999999999,24.24333333333333,2,1.3333333333333333,35.0,450.0,Toys,0
C00240,0,2,210.92000000000002,105.46000000000001,2,2.5,48.0,424.0,Books,1
C00241,1,2,108.44,54.22,2,1.0,6.0,417.0,Beauty,0
C00242,0,0,0.0,0.0,0,0.0,146.0,407.0,unknown,0
C00243,0,0,0.0,0.0,0,0.0,334.0,391.0,unknown,0
C00244,1,1,16.42,16.42,1,1.0,25.0,408.0,Toys,0
C00245,1,2,317.82,158.91,1,2.5,2.0,359.0,Sports,1
C00246,0,1,21.69,21.69,1,1.0,89.0,396.0,Beauty,0
C00247,1,4,694.55,173.6375,3,1.25,11.0,361.0,Fashion,0
C00248,1,4,1468.61,367.1525,3,1.5,10.0,361.0,Electronics,1
C00249,0,0,0.0,0.0,0,0.0,124.0,442.0,unknown,0
C00250,2,3,1247.52,415.84,2,2.3333333333333335,6.0,372.0,Home,0
C00251,2,4,461.62,115.405,4,1.25,3.0,364.0,Books,1
C00252,0,1,120.5,120.5,1,1.0,46.0,339.0,Sports,0
C00253,0,2,192.87,96.435,1,1.0,41.0,333.0,Home,0
C00254,0,0,0.0,0.0,0,0.0,157.0,399.0,unknown,0
C00255,0,0,0.0,0.0,0,0.0,364.0,420.0,unknown,0
C00256,1,1,24.6,24.6,1,1.0,5.0,178.0,Grocery,0
C00257,0,0,0.0,0.0,0,0.0,327.0,387.0,unknown,1
C00258,0,1,33.69,33.69,1,1.0,39.0,444.0,Grocery,1
C00259,0,2,1202.79,601.395,2,2.5,50.0,427.0,Fashion,0
C00260,0,3,200.23000000000002,66.74333333333334,3,1.3333333333333333,52.0,441.0,Beauty,0
C00261,1,3,683.9,227.96666666666667,3,2.6666666666666665,5.0,440.0,Fashion,1
C00262,0,1,35.78,35.78,1,2.0,65.0,367.0,Beauty,1
C00263,0,0,0.0,0.0,0,0.0,339.0,343.0,unknown,0
C00264,1,2,271.43,135.715,2,1.5,20.0,390.0,Beauty,0
C00265,0,3,107.86000000000001,35.95333333333334,3,1.0,56.0,365.0,Beauty,1
C00266,2,2,426.15,213.075,1,1.5,17.0,403.0,Sports,1
C00267,0,0,0.0,0.0,0,0.0,314.0,351.0,unknown,0
C00268,1,5,249.18,49.836,4,1.4,9.0,441.0,Grocery,1
C00269,1,2,715.0500000000001,357.52500000000003,2,1.0,25.0,413.0,Electronics,1
C00270,1,3,1348.51,449.50333333333333,2,1.0,1.0,388.0,Electronics,1
C00271,0,1,50.76,50.76,1,1.0,53.0,410.0,Books,0
C00272,1,5,633.63,126.726,5,1.8,26.0,451.0,Beauty,1
C00273,2,3,376.01,125.33666666666666,3,1.0,7.0,438.0,Electronics,1
C00274,0,4,475.81,118.9525,3,1.0,42.0,356.0,Beauty,0
C00275,1,2,178.63,89.315,2,1.5,16.0,350.0,Fashion,0
C00276,0,0,0.0,0.0,0,0.0,123.0,445.0,unknown,0
C00277,0,0,0.0,0.0,0,0.0,356.0,434.0,unknown,0
C00278,0,0,0.0,0.0,0,0.0,137.0,418.0,unknown,0
C00279,1,1,172.45,172.45,1,1.0,5.0,426.0,Electronics,0
C00280,1,1,49.97,49.97,1,1.0,11.0,339.0,Fashion,0
C00281,0,2,54.28,27.14,1,1.0,31.0,302.0,Beauty,0
C00282,0,0,0.0,0.0,0,0.0,233.0,438.0,unknown,1
C00283,0,0,0.0,0.0,0,0.0,212.0,427.0,unknown,0
C00284,0,0,0.0,0.0,0,0.0,190.0,405.0,unknown,0
C00285,0,1,88.01,88.01,1,4.0,78.0,431.0,Grocery,0
C00286,0,3,3405.36,1135.1200000000001,3,3.6666666666666665,68.0,233.0,Beauty,0
C00287,0,0,0.0,0.0,0,0.0,154.0,452.0,unknown,1
C00288,0,0,0.0,0.0,0,0.0,427.0,427.0,unknown,0
C00289,1,2,262.39,131.195,2,1.0,27.0,189.0,Electronics,0
C00290,2,7,1252.48,178.9257142857143,4,1.0,0.0,449.0,Home,1
C00291,0,4,1843.6799999999998,460.91999999999996,4,1.75,30.0,392.0,Beauty,1
C00292,1,4,988.39,247.0975,4,1.25,11.0,430.0,Beauty,1
C00293,2,3,493.87,164.62333333333333,3,1.3333333333333333,10.0,403.0,Beauty,0
C00294,1,2,635.4100000000001,317.70500000000004,1,2.0,14.0,252.0,Fashion,0
C00295,0,1,36.06,36.06,1,1.0,39.0,361.0,Fashion,1
C00296,0,3,150.75,50.25,3,1.3333333333333333,68.0,404.0,Beauty,0
C00297,0,0,0.0,0.0,0,0.0,138.0,349.0,unknown,0
C00298,2,10,1922.3500000000001,192.235,4,1.7,9.0,430.0,Beauty,1
C00299,0,0,0.0,0.0,0,0.0,93.0,414.0,unknown,1
C00300,0,0,0.0,0.0,0,0.0,376.0,376.0,unknown,0
C00301,0,1,54.47,54.47,1,2.0,48.0,285.0,Beauty,0
C00302,1,2,294.5,147.25,2,1.5,22.0,434.0,Books,0
C00303,0,0,0.0,0.0,0,0.0,352.0,382.0,unknown,0
C00304,2,3,306.05,102.01666666666667,3,1.3333333333333333,13.0,275.0,Beauty,1
C00305,1,5,277.25,55.45,5,1.0,12.0,450.0,Beauty,1
C00306,0,0,0.0,0.0,0,0.0,95.0,396.0,unknown,0
C00307,0,0,0.0,0.0,0,0.0,310.0,432.0,unknown,0
C00308,0,3,378.15999999999997,126.05333333333333,3,1.6666666666666667,33.0,407.0,Fashion,0
C00309,0,0,0.0,0.0,0,0.0,362.0,430.0,unknown,0
C00310,2,4,127.66,31.915,3,1.5,17.0,418.0,Beauty,0
C00311,0,0,0.0,0.0,0,0.0,99.0,309.0,unknown,1
C00312,0,1,1395.5,1395.5,1,2.0,30.0,175.0,Electronics,0
C00313,0,0,0.0,0.0,0,0.0,189.0,408.0,unknown,0
C00314,0,1,22.0,22.0,1,1.0,85.0,429.0,Books,0
C00315,0,0,0.0,0.0,0,0.0,249.0,429.0,unknown,0
C00316,0,1,37.84,37.84,1,1.0,32.0,438.0,Fashion,0
C00317,0,0,0.0,0.0,0,0.0,163.0,445.0,unknown,0
C00318,0,0,0.0,0.0,0,0.0,158.0,390.0,unknown,0
C00319,0,0,0.0,0.0,0,0.0,242.0,449.0,unknown,0
C00320,0,0,0.0,0.0,0,0.0,112.0,383.0,unknown,0
C00321,0,0,0.0,0.0,0,0.0,203.0,310.0,unknown,0
C00322,0,2,3115.25,1557.625,1,2.5,50.0,368.0,Electronics,0
C00323,0,0,0.0,0.0,0,0.0,235.0,418.0,unknown,0
C00324,0,1,1700.0,1700.0,1,2.0,76.0,364.0,Electronics,1
C00325,0,1,90.7,90.7,1,3.0,39.0,444.0,Toys,0
C00326,0,0,0.0,0.0,0,0.0,301.0,452.0,unknown,0
C00327,0,0,0.0,0.0,0,0.0,92.0,305.0,unknown,0
C00328,0,0,0.0,0.0,0,0.0,192.0,449.0,unknown,0
C00329,0,0,0.0,0.0,0,0.0,94.0,248.0,unknown,0
C00330,0,0,0.0,0.0,0,0.0,359.0,392.0,unknown,0
C00331,1,1,154.63,154.63,1,2.0,20.0,152.0,Home,0
C00332,0,0,0.0,0.0,0,0.0,210.0,452.0,unknown,0
C00333,0,3,341.06,113.68666666666667,3,1.3333333333333333,30.0,377.0,Beauty,1
C00334,1,2,742.12,371.06,2,1.0,3.0,359.0,Electronics,1
C00335,0,2,177.18,88.59,2,1.0,34.0,319.0,Fashion,1
C00336,1,3,311.49,103.83,3,1.0,1.0,404.0,Fashion,0
C00337,1,2,309.98,154.99,2,1.0,20.0,401.0,Electronics,0
C00338,0,0,0.0,0.0,0,0.0,142.0,305.0,unknown,0
C00339,3,7,750.8599999999999,107.26571428571427,3,1.4285714285714286,10.0,366.0,Fashion,1
C00340,0,0,0.0,0.0,0,0.0,94.0,369.0,unknown,0
C00341,1,6,1593.95,265.65833333333336,5,1.5,26.0,450.0,Grocery,0
C00342,0,2,265.96999999999997,132.98499999999999,2,1.0,54.0,325.0,Beauty,1
C00343,0,0,0.0,0.0,0,0.0,150.0,373.0,unknown,0
C00344,0,2,189.04,94.52,2,1.0,57.0,440.0,Books,1
C00345,0,2,345.66999999999996,172.83499999999998,2,2.5,34.0,385.0,Home,0
C00346,0,0,0.0,0.0,0,0.0,109.0,332.0,unknown,1
C00347,0,1,220.0,220.0,1,1.0,66.0,435.0,Fashion,0
C00348,0,0,0.0,0.0,0,0.0,265.0,402.0,unknown,0
C00349,0,1,60.23,60.23,1,1.0,30.0,406.0,Fashion,1
C00350,1,2,280.53,140.265,2,1.0,26.0,380.0,Beauty,1
C00351,0,1,19.84,19.84,1,1.0,51.0,383.0,Grocery,1
C00352,2,4,795.51,198.8775,3,2.0,7.0,413.0,Grocery,1
C00353,0,1,44.68,44.68,1,1.0,67.0,256.0,Beauty,0
C00354,1,2,356.99,178.495,2,1.0,9.0,377.0,Grocery,0
C00355,6,12,5279.35,439.9458333333334,4,1.9166666666666667,2.0,396.0,Electronics,1
C00356,0,0,0.0,0.0,0,0.0,155.0,422.0,unknown,0
C00357,0,0,0.0,0.0,0,0.0,166.0,314.0,unknown,0
C00358,0,0,0.0,0.0,0,0.0,214.0,241.0,unknown,0
C00359,2,2,2330.81,1165.405,2,1.5,3.0,310.0,Electronics,1
C00360,0,2,424.15000000000003,212.07500000000002,2,1.5,80.0,82.0,Grocery,1
C00361,0,1,13.1,13.1,1,1.0,89.0,435.0,Grocery,0
C00362,3,7,806.88,115.26857142857143,6,1.2857142857142858,0.0,424.0,Fashion,1
C00363,0,0,0.0,0.0,0,0.0,191.0,394.0,unknown,0
